2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:21 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
2025-01-27 11:37:22 - INFO - Message sent: ID=0x33, Data=bytearray(b'2\x00\x00'), Attempts remaining: 3
